Reviewer Name,Review Content,Rating Score,Movie Link
leconghuyhoang,Đánh giá : 80/100,8,https://moveek.com/review/chang-trai-nam-ay/
pk_4183,"Phim hay.
Sơn Tùng diễn cũng rất đạt.
Nội dung hay tuốt.",9,https://moveek.com/review/chang-trai-nam-ay/
An Ngáo's,"Rất hay, rất hài hước và rất cảm động",10,https://moveek.com/review/chang-trai-nam-ay/
MarsLe,"Là 1 trong những phim chất lượng khá hiếm hoi của Việt Nam,
- Nội dung ổn, pha lẫn hài hước nhưng không qua lố.
-Tình tiết, diễn biến vẫn khá nhanh, chưa chuyển tải được hết nội dung.
- Diễn xuất: khá
- Thông điệp bị sao lãng khi quá trú trọng vào diễn thuyết (bài diễn thuyết quá dài), dễ gây nhàm chán.
Kết luận: 1 phim đáng quan tâm.",6,https://moveek.com/review/chang-trai-nam-ay/
Legolas,Xúc động.,9,https://moveek.com/review/chang-trai-nam-ay/
Thanhphuc Le,tui coi roi rat al hay,10,https://moveek.com/review/ngay-nay-ngay-nay/
An Ngáo's,hay,8,https://moveek.com/review/ngay-nay-ngay-nay/
pk_4183,"Đây là phim Việt Nam về chủ đề LGBT đầu tiên mà mình xem.
Thấy nội dung khai thác rất hay.
Diễn viên lại đẹp và khá nổi tiếng trong showbiz",10,https://moveek.com/review/love-yeu/
pk_4183,"Phim remake lại nhưng vẫn có nét riêng của phim Việt Nam.
Hay.",10,https://moveek.com/review/em-la-ba-noi-cua-anh/
Tina Trương,Phim rất hay . Diễn viên diễn rất đạt .,10,https://moveek.com/review/em-la-ba-noi-cua-anh/
Na's Múp's,"miu lê diễn hay thiệt nhá , kiến huy cũng đẹp troai nữa hí hí hí, hài qá :)))))))) vừa dễ chạm và long khán giả vừa có những tình huống cừi không nhặt đc mồm. THÍCH với MÊ gê luôn á nghe",10,https://moveek.com/review/em-la-ba-noi-cua-anh/
